?,.,0,0,4,0.22314355131420976
-,¿,0,0,1,1.6094379124341003
á,r,1,0,1,1.6094379124341003
t,’,0,0,1,1.6094379124341003
e,u,0,0,5,0.0
(,i,1,0,2,0.9162907318741551
i,b,0,1,1,1.6094379124341003
i,_,0,0,3,0.5108256237659907
o,.,0,1,5,0.0
g,!,0,1,1,1.6094379124341003
e,t,1,1,3,0.5108256237659907
a,x,0,1,1,1.6094379124341003
k,r,1,0,1,1.6094379124341003
1,6,0,1,1,1.6094379124341003
r,k,0,0,2,0.9162907318741551
û,r,0,1,1,1.6094379124341003
3,nothing,1,1,3,0.5108256237659907
=,r,1,0,1,1.6094379124341003
“,y,1,0,1,1.6094379124341003
f,e,1,1,1,1.6094379124341003
é,m,0,0,3,0.5108256237659907
j,',1,0,1,1.6094379124341003
_,b,1,0,4,0.22314355131420976
_,.,0,0,4,0.22314355131420976
6,4,1,1,1,1.6094379124341003
é,o,0,1,1,1.6094379124341003
ê,m,0,0,2,0.9162907318741551
i,ù,0,0,1,1.6094379124341003
¡,b,0,0,1,1.6094379124341003
á,v,0,0,1,1.6094379124341003
â,l,0,0,1,1.6094379124341003
é,h,0,0,1,1.6094379124341003
j,ó,0,1,1,1.6094379124341003
s,n,0,0,4,0.22314355131420976
u,»,0,0,2,0.9162907318741551
t,»,0,0,1,1.6094379124341003
e,l,1,0,5,0.0
ã,o,0,1,1,1.6094379124341003
v,i,1,1,5,0.0
h,é,0,0,3,0.5108256237659907
n,î,0,0,1,1.6094379124341003
n,»,0,0,2,0.9162907318741551
e,',0,1,1,1.6094379124341003
¡,p,0,0,1,1.6094379124341003
t,e,0,0,5,0.0
s,s,0,0,4,0.22314355131420976
k,?,0,1,1,1.6094379124341003
o,e,0,0,4,0.22314355131420976
7,0,0,1,1,1.6094379124341003
d,ì,0,0,1,1.6094379124341003
k,a,0,0,2,0.9162907318741551
a,y,0,1,4,0.22314355131420976
b,u,0,0,5,0.0
n,],0,1,1,1.6094379124341003
ê,v,0,0,1,1.6094379124341003
è,nothing,1,1,1,1.6094379124341003
r,m,0,1,1,1.6094379124341003
v,ô,1,0,2,0.9162907318741551
o,q,1,0,1,1.6094379124341003
j,á,0,0,2,0.9162907318741551
u,i,0,0,5,0.0
u,v,0,0,5,0.0
t,ú,1,0,1,1.6094379124341003
b,e,0,1,5,0.0
»,?,0,1,3,0.5108256237659907
ó,c,0,0,2,0.9162907318741551
_,w,1,0,3,0.5108256237659907
m,»,0,0,1,1.6094379124341003
t,?,0,1,3,0.5108256237659907
-,à,0,0,1,1.6094379124341003
e,b,1,0,2,0.9162907318741551
_,h,1,0,4,0.22314355131420976
s,!,0,0,4,0.22314355131420976
d,õ,0,0,1,1.6094379124341003
v,i,1,0,5,0.0
«,w,1,0,1,1.6094379124341003
y,n,0,0,2,0.9162907318741551
ú,.,0,0,2,0.9162907318741551
k,.,0,0,1,1.6094379124341003
!,;,0,1,1,1.6094379124341003
í,l,0,0,1,1.6094379124341003
á,e,0,0,1,1.6094379124341003
n,p,0,0,1,1.6094379124341003
&,nothing,1,1,1,1.6094379124341003
9,4,1,1,1,1.6094379124341003
ò,",",0,1,1,1.6094379124341003
p,ú,1,0,1,1.6094379124341003
¡,f,0,0,1,1.6094379124341003
n,c,0,0,5,0.0
e,l,0,1,5,0.0
u,ó,0,1,1,1.6094379124341003
u,ê,0,0,1,1.6094379124341003
e,-,0,0,4,0.22314355131420976
j,é,0,0,1,1.6094379124341003
',_,0,0,2,0.9162907318741551
"""",i,1,0,1,1.6094379124341003
r,!,0,1,5,0.0
m,û,1,0,1,1.6094379124341003
ñ,e,0,0,1,1.6094379124341003
r,k,0,1,1,1.6094379124341003
«,n,0,0,1,1.6094379124341003
t,ê,1,0,2,0.9162907318741551
u,_,0,0,4,0.22314355131420976
ü,nothing,1,1,1,1.6094379124341003
s,ã,0,0,1,1.6094379124341003
ç,u,0,0,2,0.9162907318741551
¿,n,1,0,1,1.6094379124341003
e,i,1,0,2,0.9162907318741551
é,t,1,0,2,0.9162907318741551
c,h,1,0,5,0.0
a,c,0,1,4,0.22314355131420976
b,â,0,0,1,1.6094379124341003
v,a,1,0,5,0.0
i,),0,0,1,1.6094379124341003
u,a,0,1,4,0.22314355131420976
b,n,0,0,2,0.9162907318741551
d,í,0,1,1,1.6094379124341003
b,.,0,0,1,1.6094379124341003
f,ú,1,0,1,1.6094379124341003
e,x,0,0,4,0.22314355131420976
e,",",0,0,3,0.5108256237659907
á,:,0,1,2,0.9162907318741551
s,o,1,0,5,0.0
l,n,0,0,3,0.5108256237659907
1,",",1,1,1,1.6094379124341003
ó,;,0,0,1,1.6094379124341003
e,;,0,1,5,0.0
t,s,1,0,1,1.6094379124341003
—,i,0,1,1,1.6094379124341003
k,’,0,1,1,1.6094379124341003
ã,o,0,0,1,1.6094379124341003
n,e,0,0,5,0.0
h,—,0,0,1,1.6094379124341003
y,ó,0,1,1,1.6094379124341003
i,v,0,0,5,0.0
w,l,0,1,1,1.6094379124341003
ù,!,0,0,1,1.6094379124341003
d,è,1,0,1,1.6094379124341003
í,q,0,0,1,1.6094379124341003
r,à,0,1,1,1.6094379124341003
ê,a,0,0,1,1.6094379124341003
c,á,1,1,1,1.6094379124341003
7,1,0,1,1,1.6094379124341003
d,_,0,0,3,0.5108256237659907
z,;,1,1,1,1.6094379124341003
m,ò,1,0,1,1.6094379124341003
a,d,1,0,5,0.0
p,i,1,0,5,0.0
u,y,0,0,4,0.22314355131420976
v,o,0,0,5,0.0
f,a,0,0,5,0.0
